BPMX-1 BPMY-1 BPMS-1 BPMA-1 BPMB-1 BPMC-1 BPMD-1 
-2.082649e+00 1.356400e-01 10531636 2.186811e+06 3.123648e+06 2.827598e+06 2.393579e+06 
-2.082290e+00 1.187720e-01 10531422 2.184505e+06 3.120295e+06 2.830712e+06 2.395910e+06 
-2.089321e+00 1.069560e-01 10531281 2.181549e+06 3.119291e+06 2.833950e+06 2.396491e+06 
-2.098085e+00 1.206980e-01 10531206 2.182058e+06 3.123267e+06 2.832816e+06 2.393065e+06 
-2.102190e+00 1.342640e-01 10531947 2.183314e+06 3.126849e+06 2.831004e+06 2.390780e+06 
-2.093221e+00 1.185360e-01 10531759 2.182616e+06 3.122276e+06 2.832519e+06 2.394348e+06 
-2.082206e+00 1.084080e-01 10531696 2.183251e+06 3.118276e+06 2.832858e+06 2.397311e+06 
-2.082845e+00 1.251590e-01 10530543 2.185335e+06 3.121124e+06 2.829569e+06 2.394515e+06 
-2.091989e+00 1.343100e-01 10531330 2.184885e+06 3.124982e+06 2.829165e+06 2.392298e+06 
-2.103814e+00 1.164710e-01 10531403 2.180595e+06 3.123438e+06 2.834642e+06 2.392728e+06 
-2.104977e+00 1.072120e-01 10531886 2.179435e+06 3.121794e+06 2.836942e+06 2.393715e+06 
-2.096371e+00 1.225770e-01 10531924 2.182722e+06 3.123583e+06 2.832342e+06 2.393277e+06 
-2.083386e+00 1.360650e-01 10530331 2.186304e+06 3.123637e+06 2.827114e+06 2.393276e+06 
-2.081662e+00 1.223640e-01 10530864 2.184835e+06 3.120866e+06 2.829619e+06 2.395544e+06 
-2.090174e+00 1.091710e-01 10530846 2.181783e+06 3.119567e+06 2.833709e+06 2.395787e+06 
-2.104066e+00 1.209310e-01 10532112 2.181275e+06 3.124583e+06 2.833981e+06 2.392273e+06 
-2.109836e+00 1.309330e-01 10532598 2.181809e+06 3.127586e+06 2.833152e+06 2.390051e+06 
-2.100651e+00 1.185380e-01 10530664 2.180954e+06 3.123387e+06 2.833234e+06 2.393089e+06 
-2.087476e+00 1.116090e-01 10530853 2.182498e+06 3.119658e+06 2.832734e+06 2.395963e+06 
-2.081684e+00 1.272570e-01 10531306 2.185848e+06 3.121686e+06 2.829056e+06 2.394716e+06 
-2.091448e+00 1.333980e-01 10530580 2.185167e+06 3.124022e+06 2.829523e+06 2.391868e+06 
-2.105513e+00 1.163420e-01 10531523 2.180313e+06 3.123738e+06 2.834969e+06 2.392503e+06 
-2.112450e+00 1.065210e-01 10531136 2.177682e+06 3.122942e+06 2.837829e+06 2.392683e+06 
-2.105148e+00 1.244590e-01 10531437 2.181433e+06 3.125246e+06 2.833292e+06 2.391466e+06 
-2.089197e+00 1.349570e-01 10531328 2.185532e+06 3.124547e+06 2.828680e+06 2.392569e+06 
-2.081544e+00 1.211100e-01 10529625 2.184693e+06 3.119971e+06 2.829775e+06 2.395186e+06 
-2.088985e+00 1.117440e-01 10530475 2.182297e+06 3.119713e+06 2.832962e+06 2.395503e+06 
-2.107410e+00 1.222410e-01 10531897 2.180790e+06 3.125391e+06 2.834152e+06 2.391564e+06 
-2.117137e+00 1.305170e-01 10531215 2.180369e+06 3.128191e+06 2.834167e+06 2.388487e+06 
-2.109121e+00 1.173070e-01 10532284 2.179830e+06 3.124922e+06 2.835403e+06 2.392129e+06 
-2.091783e+00 1.123320e-01 10530341 2.181715e+06 3.120421e+06 2.833099e+06 2.395106e+06 
-2.084345e+00 1.294870e-01 10530981 2.185687e+06 3.122417e+06 2.829017e+06 2.393860e+06 
-2.091210e+00 1.340350e-01 10530135 2.185179e+06 3.123995e+06 2.829220e+06 2.391741e+06 
-2.107398e+00 1.170050e-01 10531026 2.180051e+06 3.123967e+06 2.835079e+06 2.391928e+06 
-2.119917e+00 1.072690e-01 10531072 2.176630e+06 3.124208e+06 2.838984e+06 2.391250e+06 
-2.115072e+00 1.261080e-01 10532652 2.180291e+06 3.127543e+06 2.834949e+06 2.389869e+06 
-2.097903e+00 1.357730e-01 10531549 2.184334e+06 3.126125e+06 2.830092e+06 2.390998e+06 
-2.082806e+00 1.215860e-01 10530803 2.184626e+06 3.120788e+06 2.830039e+06 2.395350e+06 
-2.085741e+00 1.145550e-01 10530550 2.183265e+06 3.119708e+06 2.831942e+06 2.395635e+06 
-2.106578e+00 1.244020e-01 10530960 2.181379e+06 3.125041e+06 2.833698e+06 2.390842e+06 
-2.122726e+00 1.294510e-01 10531963 2.179391e+06 3.129196e+06 2.835425e+06 2.387951e+06 
-2.119522e+00 1.159660e-01 10532144 2.177823e+06 3.126417e+06 2.837252e+06 2.390652e+06 
-2.100927e+00 1.118970e-01 10531483 2.180346e+06 3.122222e+06 2.834953e+06 2.393962e+06 
-2.085669e+00 1.295600e-01 10529741 2.185003e+06 3.122500e+06 2.828669e+06 2.393569e+06 
-2.087730e+00 1.346670e-01 10529417 2.185450e+06 3.123570e+06 2.828094e+06 2.392303e+06 
-2.105581e+00 1.170460e-01 10530761 2.180359e+06 3.123540e+06 2.834758e+06 2.392104e+06 
